img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_3262947AmericaFrontccc.jpg,Code Name: S.T.E.A.M.,3DS,Strategy,Nintendo,Intelligent Systems,80.0,0.22,0.14,0.02,0.05,0.02,2015-03-13,2019-01-04
/games/boxart/full_5050917AmericaFrontccc.jpg,Attack on Titan 2,PS4,Action,Koei Tecmo,Omega Force,78.0,0.22,0.09,0.06,0.04,0.03,2018-03-20,2018-03-30
/games/boxart/full_7511702AmericaFrontccc.jpg,Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,Atlus,81.0,0.21,0.11,0.06,0.03,0.01,2018-02-13,2018-03-01
/games/boxart/full_2814932AmericaFrontccc.jpg,Fate/Extella: The Umbral Star,NS,Action,Xseed Games,Marvelous Entertainment,80.0,0.21,0.1,0.04,0.06,0.02,2017-07-25,2018-01-02
/games/boxart/full_kung-fu-rider_6AmericaFront.jpg,Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,43.0,0.2,0.06,0.01,0.1,0.04,2010-09-17,2018-09-16
/games/boxart/full_pac-man-ampamp-galaga-dimensions_81AmericaFront.jpg,Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,Namco Bandai Games,57.0,0.19,0.1,0.04,0.04,0.01,2011-07-26,2019-01-05
/games/boxart/full_857223AmericaFrontccc.jpg,Tekken Tag Tournament 2,WiiU,Fighting,Namco Bandai Games,Bandai Namco Games,81.0,0.19,0.09,0.01,0.07,0.01,2012-11-18,2018-04-21
/games/boxart/full_5562911AmericaFrontccc.jpg,Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,Monolith Soft,66.0,0.19,0.06,0.09,0.04,0.01,2016-02-16,2018-06-14
/games/boxart/full_7515439AmericaFrontccc.jpg,Valkyria Chronicles 4,NS,Strategy,Sega,Sega,86.0,0.19,0.12,0.02,0.04,0.02,2018-09-25,2018-09-11
/games/boxart/full_3344272AmericaFrontccc.jpg,Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,Nintendo EPD,85.0,0.19,0.06,0.08,0.04,0.01,2018-07-13,2018-11-18
/games/boxart/full_3440880AmericaFrontccc.jpg,Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,Capcom,85.0,0.19,0.12,0.01,0.04,0.02,2018-05-29,2018-11-07
/games/boxart/full_585428AmericaFrontccc.jpg,Resident Evil: Revelations,PS4,Action,Capcom,Capcom,72.0,0.18,0.06,0.04,0.06,0.02,2017-08-29,2018-03-16
/games/boxart/full_8966602AmericaFrontccc.jpg,Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,Monolith Soft,75.0,0.16,0.08,0.02,0.05,0.01,2018-09-21,2018-09-26
/games/boxart/full_4006314AmericaFrontccc.jpg,Gravity Rush Remastered,PS4,Action-Adventure,Sony Computer Entertainment,Bluepoint Games,79.0,0.16,0.02,0.05,0.06,0.02,2016-02-02,2018-09-23
/games/boxart/full_2872372AmericaFrontccc.jpg,Naruto Powerful Shippuden,3DS,Action-Adventure,Namco Bandai Games,Namco Bandai Games,80.0,0.16,0.08,0.04,0.02,0.01,2013-03-05,2018-11-06
/games/boxart/full_8808791AmericaFrontccc.jpg,Castlevania: Lords of Shadow - Mirror of Fate,3DS,Action-Adventure,Konami Digital Entertainment,Mercury Steam,72.0,0.16,0.04,0.03,0.08,0.01,2013-03-05,2018-11-06
/games/boxart/full_fist-of-the-north-star-kens-rage_8AmericaFront.jpg,Fist of the North Star: Ken's Rage,X360,Action,Tecmo Koei,Tecmo Koei Games,54.0,0.16,0.07,0.06,0.02,0.01,2010-11-02,2018-07-30
/games/boxart/full_187919AmericaFrontccc.jpg,Metroid Prime: Federation Force,3DS,Action,Nintendo,Next Level Games,63.0,0.15,0.08,0.03,0.02,0.01,2016-08-19,2018-07-02
/games/boxart/full_9900131AmericaFrontccc.jpg,Gear.Club Unlimited,NS,Racing,Microids,Eden Games,61.0,0.15,0.1,0.01,0.03,0.01,2017-11-21,2018-01-07
/games/boxart/full_169570AmericaFrontccc.jpg,Rodea the Sky Soldier,WiiU,Action-Adventure,NIS America,Kadokawa Games,70.0,0.14,0.1,0.01,0.02,0.01,2015-11-10,2018-04-06
